IDExp,global_division,frame_division
id20161230_pos1_roi6,1,358
id20161230_pos1_roi9,1,1068
id20161230_pos2_roi3,1,146
id20161230_pos2_roi6,0,NaN
id20161230_pos3_roi1,0,NaN
id20161230_pos3_roi4,1,48
id20161230_pos4_roi4,1,470
id20161230_pos4_roi7,0,NaN
id20161230_pos4_roi9,0,NaN
id20161230_pos5_roi1,0,NaN
id20161230_pos5_roi5,0,NaN
id20161230_pos5_roi9,0,NaN
id20161230_pos6_roi1,0,NaN
id20161230_pos6_roi3,0,NaN
id20161230_pos6_roi7,0,NaN
id20161230_pos7_roi8,1,358
id20161230_pos8_roi4,0,NaN
id20161230_pos8_roi5,0,NaN
id20161230_pos8_roi6,0,NaN
id20170105_pos2_roi1,0,NaN
id20170105_pos3_roi2,0,NaN
id20170105_pos4_roi1,0,NaN
id20170105_pos6_roi5,0,NaN
id20170105_pos6_roi6,0,NaN
id20170517_pos12_roi1,0,NaN
id20170517_pos13_roi6,0,NaN
id20170517_pos14_roi3,0,NaN
id20170517_pos16_roi3,0,NaN
id20170517_pos16_roi4,0,NaN
id20170517_pos19_roi2,1,436
id20170517_pos19_roi3,0,NaN
id20170517_pos19_roi5,0,NaN
id20170517_pos19_roi6,0,NaN
id20170517_pos2_roi2,1,9
id20170517_pos2_roi3,0,NaN
id20170517_pos3_roi1,0,NaN
