var_names	var_type	is_contextual	levels_increasing_order	group	group_color
CAF_presence	0	1	0,1	experimental conditions	FF6600
treatment	0	1	0,1	experimental conditions	FF6600
apoptosis	0	0	0,1	cancer cells	D0D0D0
division	0	0	0,1	cancer cells	D0D0D0
area	1	0		cancer cells	D0D0D0
instantaneous_cancer_velocity	1	0		cancer cells	D0D0D0
instantaneous_shape_change	1	0		cancer cells	D0D0D0
perimeter	1	0		cancer cells	D0D0D0
eccentricity	1	0		cancer cells	D0D0D0
circularity	1	0		cancer cells	D0D0D0
net_displacement	1	0		cancer cells	D0D0D0
directionality	1	0		cancer cells	D0D0D0
number_of_cancer_immune_interactions_r2	1	0		immune cells	00FF21
minimal_cancer_immune_distance_r2	1	0		immune cells	00FF21
mean_immune_velocity_r2	1	0		immune cells	00FF21
mean_immune_velocity_r1	1	0		immune cells	00FF21
number_of_cancer_immune_interactions_r1	1	0		immune cells	00FF21
